44.425312,26.131975,Small shop,FALSE,FALSE,FALSE
44.423626,26.131021,Small shop,FALSE,TRUE,FALSE
44.426788,26.134172,Small shop,FALSE,FALSE,FALSE
44.42852,26.134714,Small shop,FALSE,FALSE,FALSE
44.423092,26.134218,Supermarket,TRUE,FALSE,TRUE
44.420479,26.133869,Small shop,FALSE,TRUE,FALSE
44.418766,26.132896,Small shop,FALSE,FALSE,FALSE
44.418224,26.134069,Small shop,FALSE,FALSE,FALSE
44.417217,26.132101,Small shop,FALSE,FALSE,FALSE
44.417301,26.130629,Small shop,FALSE,FALSE,FALSE
44.417099,26.129927,Small shop,FALSE,TRUE,FALSE
44.418114,26.129335,Small shop,FALSE,TRUE,FALSE
44.418297,26.129383,Small shop,FALSE,FALSE,FALSE
44.41864,26.129547,Small shop,FALSE,FALSE,FALSE
44.419113,26.129663,Small shop,FALSE,FALSE,FALSE
44.41959,26.129902,Supermarket,TRUE,FALSE,TRUE
44.421028,26.130882,Small shop,FALSE,FALSE,FALSE
44.421822,26.129284,Small shop,FALSE,FALSE,FALSE
44.422569,26.129938,Small shop,FALSE,FALSE,FALSE
44.418484,26.127901,Small shop,FALSE,TRUE,FALSE
44.417995,26.126987,Small shop,FALSE,FALSE,FALSE
44.398357,26.115236,Small shop,FALSE,FALSE,FALSE
44.397518,26.114683,Small shop,FALSE,FALSE,FALSE
44.397614,26.114883,Small shop,FALSE,FALSE,FALSE
44.397182,26.115368,Small shop,FALSE,FALSE,FALSE
44.395599,26.116858,Small shop,FALSE,FALSE,FALSE
44.393673,26.12039,Supermarket,TRUE,FALSE,TRUE
44.394272,26.119516,Small shop,FALSE,FALSE,FALSE
44.394604,26.118616,Small shop,FALSE,FALSE,FALSE
44.39492,26.117458,Small shop,FALSE,FALSE,FALSE
44.395195,26.116814,Small shop,FALSE,FALSE,FALSE
44.395378,26.116388,Small shop,FALSE,FALSE,FALSE
44.3955,26.116037,Supermarket,TRUE,FALSE,TRUE
44.396423,26.113628,Small shop,FALSE,FALSE,FALSE
44.396473,26.11344,Small shop,FALSE,TRUE,FALSE
44.44371,26.061974,Hypermarket,TRUE,FALSE,TRUE
44.445038,26.057343,Small shop,FALSE,TRUE,FALSE
44.444096,26.056866,Small shop,FALSE,FALSE,FALSE
44.445404,26.053127,Small shop,FALSE,TRUE,FALSE
44.446354,26.05195,Small shop,FALSE,FALSE,FALSE
44.444538,26.055716,Small shop,FALSE,FALSE,FALSE
44.44487,26.055851,Small shop,FALSE,FALSE,FALSE
44.44553,26.058899,Small shop,FALSE,TRUE,FALSE
44.443104,26.062307,Small shop,FALSE,TRUE,FALSE
44.434399,26.08375,Small shop,FALSE,FALSE,FALSE
44.434547,26.084564,Small shop,FALSE,FALSE,FALSE
44.434551,26.085234,Small shop,FALSE,FALSE,FALSE
44.434383,26.087505,Small shop,FALSE,TRUE,FALSE
44.434963,26.087385,Small shop,FALSE,FALSE,FALSE
44.434631,26.089712,Small shop,FALSE,FALSE,FALSE
44.433887,26.089005,Small shop,FALSE,FALSE,FALSE
44.433601,26.089252,Small shop,FALSE,TRUE,FALSE
44.434135,26.08963,Small shop,FALSE,FALSE,FALSE
44.421928,26.090788,Supermarket,TRUE,FALSE,TRUE
44.421711,26.089993,Small shop,FALSE,TRUE,FALSE
44.421776,26.091303,Small shop,FALSE,FALSE,FALSE
44.422787,26.096073,Small shop,FALSE,FALSE,FALSE
44.42276,26.096352,Small shop,FALSE,FALSE,FALSE
44.423027,26.099806,Small shop,FALSE,FALSE,FALSE
44.423264,26.100292,Small shop,FALSE,FALSE,FALSE
44.423561,26.100224,Small shop,FALSE,FALSE,FALSE
44.424873,26.102985,Small shop,FALSE,FALSE,FALSE
44.424496,26.102955,Small shop,FALSE,FALSE,FALSE
44.421741,26.102764,Small shop,FALSE,FALSE,FALSE
44.421497,26.102724,Supermarket,TRUE,FALSE,TRUE
44.421707,26.102976,Small shop,FALSE,FALSE,FALSE
44.419636,26.10393,Small shop,FALSE,FALSE,FALSE
44.414539,26.105099,Hypermarket,TRUE,FALSE,TRUE
44.413761,26.105719,Supermarket,TRUE,FALSE,TRUE
44.418949,26.137825,Small shop,FALSE,FALSE,FALSE
44.418915,26.137604,Small shop,FALSE,FALSE,FALSE
44.398106,26.108553,Small shop,FALSE,FALSE,FALSE
44.39798,26.108618,Small shop,FALSE,TRUE,FALSE
44.397507,26.107689,Small shop,FALSE,FALSE,FALSE
44.397213,26.10755,Small shop,FALSE,FALSE,FALSE
44.396587,26.108065,Supermarket,TRUE,FALSE,TRUE
44.397022,26.108191,Small shop,FALSE,FALSE,FALSE
44.397121,26.108393,Small shop,FALSE,FALSE,FALSE
44.39851,26.105745,Small shop,FALSE,FALSE,FALSE
44.398701,26.105347,Small shop,FALSE,FALSE,FALSE
44.399769,26.104662,Small shop,FALSE,FALSE,FALSE
44.398617,26.102819,Small shop,FALSE,FALSE,FALSE
44.398235,26.103559,Small shop,FALSE,FALSE,FALSE
44.398338,26.104607,Small shop,FALSE,FALSE,FALSE
44.398651,26.10775,Small shop,FALSE,FALSE,FALSE
44.427574,26.099083,Small shop,FALSE,FALSE,FALSE
44.427551,26.098701,Small shop,FALSE,FALSE,FALSE
44.427574,26.098083,Small shop,FALSE,FALSE,FALSE
44.429722,26.094452,Small shop,FALSE,TRUE,FALSE
44.42889,26.095402,Supermarket,TRUE,FALSE,TRUE
44.427555,26.09738,Hypermarket,TRUE,FALSE,TRUE
44.370922,26.140688,Supermarket,TRUE,FALSE,TRUE
